CustomerIDClean,revenue,orders,units_sold,countries,revenue_share,cumulative_revenue_share,rank
Unknown,20278.81,508,4603,9,0.0939941578368543,0.0939941578368543,1
14646,17954.53,40,12042,1,0.08322090530492349,0.1772150631417778,2
12415,11195.43,12,6054,1,0.05189185235580657,0.22910691549758436,3
17404,9643.79,11,9793,1,0.044699857605326805,0.2738067731029112,4
14911,6719.650000000001,125,3170,1,0.03114619855447228,0.30495297165738344,5
12744,6718.17,6,1018,1,0.031139338617740365,0.3360923102751238,6
14156,4941.81,28,2776,1,0.022905745906182117,0.3589980561813059,7
12755,3805.9999999999995,2,1490,1,0.017641161622751405,0.37663921780405735,8
18102,3766.1,3,410,1,0.017456221436532863,0.3940954392405902,9
12753,3426.94,6,2118,1,0.015884183502751368,0.4099796227433416,10
12798,3325.44,2,3216,1,0.015413721625528756,0.42539334436887033,11
12435,2667.0,2,532,1,0.012361791394607987,0.4377551357634783,12
12664,1850.58,6,446,1,0.008577609268479058,0.44633274503195736,13
16210,1828.8000000000002,2,576,1,0.008476656956302621,0.45480940198826,14
14935,1784.71,1,935,1,0.008272295732984936,0.4630816977212449,15
16754,1484.0,1,1400,1,0.006878477101461663,0.4699601748227066,16
12557,1480.9,2,530,1,0.006864108315063731,0.4768242831377703,17
12347,1473.09,7,853,1,0.006827908243525714,0.483652191381296,18
12779,1430.43,8,813,1,0.006630175202320624,0.4902823665836166,19
12678,1261.77,8,861,1,0.005848420520425392,0.496130787104042,20
12433,1093.24,7,930,1,0.005067268400540397,0.5011980555045824,21
12770,1053.9,1,674,1,0.004884923866058252,0.5060829793706406,22
12348,1049.92,4,1423,1,0.004866476198360262,0.5109494555690008,23
12584,1007.61,8,173,1,0.004670365439490422,0.5156198210084912,24
17444,969.47,3,559,1,0.004493583015871994,0.5201134040243632,25
14088,953.53,5,220,1,0.004419699643232304,0.5245331036675955,26
12766,913.48,7,362,1,0.004234064193155795,0.5287671678607513,27
12643,871.1999999999999,1,578,1,0.004038092487057547,0.5328052603478088,28
12429,865.88,3,358,2,0.004013433795561742,0.5368186941433706,29
17828,853.06,3,227,1,0.003954011911167713,0.5407727060545383,30
12653,850.8299999999999,2,457,1,0.003943675655145975,0.5447163817096843,31
14439,840.2,1,180,1,0.003894404623078227,0.5486107863327625,32
12704,800.0799999999999,7,325,1,0.0037084447165346675,0.5523192310492971,33
15502,793.23,2,114,1,0.0036766943336876247,0.5559959253829848,34
12394,791.76,2,577,2,0.003669880747879573,0.5596658061308644,35
