InvoiceNo,StockCode,Description,Quantity,InvoiceDate,InvoiceDateOnly,Year,Month,YearMonth,DayOfWeek,UnitPrice,Revenue,CustomerIDClean,CustomerSegment,Country,revenue
536378,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,2010-12-01 09:37:00,2010-12-01,2010,12,2010-12,Wednesday,1.25,60.0,14688,Identified customer,United Kingdom,60.0
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,2010-12-01 10:03:00,2010-12-01,2010,12,2010-12,Wednesday,8.5,51.0,12431,Identified customer,Australia,51.0
536389,22196,SMALL HEART MEASURING SPOONS,24,2010-12-01 10:03:00,2010-12-01,2010,12,2010-12,Wednesday,0.85,20.4,12431,Identified customer,Australia,20.4
536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,2010-12-01 10:03:00,2010-12-01,2010,12,2010-12,Wednesday,6.35,25.4,12431,Identified customer,Australia,25.4
536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,2010-12-01 10:03:00,2010-12-01,2010,12,2010-12,Wednesday,5.45,32.7,12431,Identified customer,Australia,32.7
536394,22865,HAND WARMER OWL DESIGN,96,2010-12-01 10:39:00,2010-12-01,2010,12,2010-12,Wednesday,1.85,177.60000000000002,13408,Identified customer,United Kingdom,177.60000000000002
536396,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 10:51:00,2010-12-01,2010,12,2010-12,Wednesday,1.06,6.36,17850,Identified customer,United Kingdom,6.36
536403,22867,HAND WARMER BIRD DESIGN,96,2010-12-01 11:27:00,2010-12-01,2010,12,2010-12,Wednesday,1.85,177.60000000000002,12791,Identified customer,Netherlands,177.60000000000002
536408,22418,10 COLOUR SPACEBOY PEN,24,2010-12-01 11:41:00,2010-12-01,2010,12,2010-12,Wednesday,0.85,20.4,14307,Identified customer,United Kingdom,20.4
536409,22975,SPACEBOY CHILDRENS EGG CUP,1,2010-12-01 11:45:00,2010-12-01,2010,12,2010-12,Wednesday,1.25,1.25,17908,Identified customer,United Kingdom,1.25
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2010-12-01 11:49:00,2010-12-01,2010,12,2010-12,Wednesday,3.75,3.75,17920,Identified customer,United Kingdom,3.75
536416,22768,FAMILY PHOTO FRAME CORNICE,4,2010-12-01 11:58:00,2010-12-01,2010,12,2010-12,Wednesday,9.95,39.8,13255,Identified customer,United Kingdom,39.8
536446,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2010-12-01 12:15:00,2010-12-01,2010,12,2010-12,Wednesday,2.1,4.2,15983,Identified customer,United Kingdom,4.2
536464,22956,36 FOIL HEART CAKE CASES,1,2010-12-01 12:23:00,2010-12-01,2010,12,2010-12,Wednesday,2.1,2.1,17968,Identified customer,United Kingdom,2.1
536532,21260,FIRST AID TIN,12,2010-12-01 13:24:00,2010-12-01,2010,12,2010-12,Wednesday,3.25,39.0,12433,Identified customer,Norway,39.0
536532,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-12-01 13:24:00,2010-12-01,2010,12,2010-12,Wednesday,0.55,13.2,12433,Identified customer,Norway,13.200000000000001
536532,22444,GROW YOUR OWN PLANT IN A CAN ,96,2010-12-01 13:24:00,2010-12-01,2010,12,2010-12,Wednesday,1.06,101.76,12433,Identified customer,Norway,101.76
536532,22961,JAM MAKING SET PRINTED,24,2010-12-01 13:24:00,2010-12-01,2010,12,2010-12,Wednesday,1.45,34.8,12433,Identified customer,Norway,34.8
536532,22315,200 RED + WHITE BENDY STRAWS,12,2010-12-01 13:24:00,2010-12-01,2010,12,2010-12,Wednesday,1.25,15.0,12433,Identified customer,Norway,15.0
536535,22121,NOEL WOODEN BLOCK LETTERS ,3,2010-12-01 13:38:00,2010-12-01,2010,12,2010-12,Wednesday,5.95,17.85,15605,Identified customer,United Kingdom,17.85
536540,22355,CHARLOTTE BAG SUKI DESIGN,50,2010-12-01 14:05:00,2010-12-01,2010,12,2010-12,Wednesday,0.85,42.5,14911,Identified customer,EIRE,42.5
536544,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,3,2010-12-01 14:32:00,2010-12-01,2010,12,2010-12,Wednesday,2.51,7.529999999999999,Unknown,Unknown customer,United Kingdom,7.529999999999999
536544,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2010-12-01 14:32:00,2010-12-01,2010,12,2010-12,Wednesday,3.36,16.8,Unknown,Unknown customer,United Kingdom,16.8
536544,21942,SKULLS DESIGN FLANNEL,2,2010-12-01 14:32:00,2010-12-01,2010,12,2010-12,Wednesday,1.66,3.32,Unknown,Unknown customer,United Kingdom,3.32
536544,72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,1,2010-12-01 14:32:00,2010-12-01,2010,12,2010-12,Wednesday,2.51,2.51,Unknown,Unknown customer,United Kingdom,2.51
536544,22945,CHRISTMAS METAL TAGS ASSORTED ,1,2010-12-01 14:32:00,2010-12-01,2010,12,2010-12,Wednesday,11.02,11.02,Unknown,Unknown customer,United Kingdom,11.02
536561,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2010-12-01 15:06:00,2010-12-01,2010,12,2010-12,Wednesday,1.65,19.8,12921,Identified customer,United Kingdom,19.799999999999997
