StockCode,Description,revenue,units_sold,orders,revenue_share
M,Manual,12872.65,10,10,0.05966592200817418
POST,POSTAGE,6892.9400000000005,237,88,0.031949413714116685
23084,RABBIT NIGHT LIGHT,5582.16,3102,20,0.025873827315832373
22423,REGENCY CAKESTAND 3 TIER,4756.8,416,40,0.022048207463768763
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,4039.2499999999995,1571,13,0.018722296921886133
23553,LANDMARK FRAME CAMDEN TOWN ,3285.0,300,1,0.015226278489421539
21915,RED  HARMONICA IN BOX ,1829.0,1676,14,0.008477583974779908
22492,MINI PAINT SET VINTAGE ,1731.6000000000001,2664,13,0.008026125976341655
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1665.9,362,31,0.0077216004065532255
21137,BLACK RECORD COVER FRAME,1627.2,480,1,0.0075422223311983954
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1527.8400000000001,556,31,0.007081679551682742
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1486.98,438,3,0.0068922896767732245
22629,SPACEBOY LUNCH BOX ,1260.45,735,16,0.005842302198475306
85099B,JUMBO BAG RED RETROSPOT,1256.99,673,24,0.005826264778818259
22630,DOLLY GIRL LUNCH BOX,1194.85,687,23,0.005538240137925518
85232B,SET OF 3 BABUSHKA STACKING TINS,1188.0,240,1,0.005506489755078474
22635,CHILDS BREAKFAST SET DOLLY GIRL ,1088.6000000000001,125,7,0.0050457615718673635
21731,RED TOADSTOOL LED NIGHT LIGHT,1074.52,673,24,0.0049804994710664335
DOT,DOTCOM POSTAGE,974.31,5,5,0.004516016863022314
23526,DOG LICENCE WALL ART,962.9999999999999,180,1,0.0044635939681317936
22554,PLASTERS IN TIN WOODLAND ANIMALS,953.2499999999999,601,18,0.004418401817364104
23256,CHILDRENS CUTLERY SPACEBOY ,946.95,249,9,0.004389200735329598
22750,FELTCRAFT PRINCESS LOLA DOLL,918.6,268,7,0.004257795866174315
22084,PAPER CHAIN KIT EMPIRE,887.1,138,6,0.00411179045600178
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,849.1999999999999,580,5,0.003936120454556095
23245,SET OF 3 REGENCY CAKE TINS,827.8900000000001,179,20,0.0038373466358012785
20712,JUMBO BAG WOODLAND ANIMALS,815.13,386,20,0.003778202856950435
21166,COOK WITH WINE METAL SIGN ,792.5300000000001,414,15,0.003673449769017125
20750,RED RETROSPOT MINI CASES,756.0,112,11,0.0035041298441408474
22960,JAM MAKING SET WITH JARS,711.8199999999999,174,16,0.0032993514625083834
23297,SET 40 HEART SHAPE PETIT FOUR CASES,697.65,481,3,0.003233672203392675
47566,PARTY BUNTING,695.36,124,16,0.003223057841827751
22386,JUMBO BAG PINK POLKADOT,676.09,348,14,0.0031337396115412508
21733,RED HANGING HEART T-LIGHT HOLDER,665.25,219,9,0.003083495210072353
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,656.3,295,12,0.003042011133213807
22139,RETROSPOT TEA SET CERAMIC 11 PC ,646.5,134,19,0.0029965872278267963
15056N,EDWARDIAN PARASOL NATURAL,619.36,103,10,0.0028707908204590946
22631,CIRCUS PARADE LUNCH BOX ,613.7299999999999,353,12,0.0028446952503234945
22427,ENAMEL FLOWER JUG CREAM,606.5,110,7,0.0028111835323696086
22847,BREAD BIN DINER STYLE IVORY,597.05,39,10,0.0027673819093178478
23480,MINI LIGHTS WOODLAND MUSHROOMS,586.26,174,6,0.0027173692624682714
85123A,WHITE HANGING HEART T-LIGHT HOLDER,585.78,214,18,0.002715144418122785
21485,RETROSPOT HEART HOT WATER BOTTLE,584.65,130,13,0.0027099067637261194
23007, SPACEBOY BABY GIFT SET,572.0999999999999,38,5,0.002651736354276427
84997B,CHILDRENS CUTLERY RETROSPOT RED ,568.8000000000001,144,8,0.0026364405494012093
22624,IVORY KITCHEN SCALES,567.8,70,16,0.002631805457014779
22625,RED KITCHEN SCALES,560.6300000000001,71,9,0.002598571844604079
37370,RETRO COFFEE MUGS ASSORTED,557.25,523,4,0.002582905232337946
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,556.19,283,10,0.002577992034408331
23298,SPOTTY BUNTING,550.73,103,16,0.0025526844299784248
20725,LUNCH BAG RED RETROSPOT,531.11,331,22,0.002461743917356674
22367,CHILDRENS APRON SPACEBOY DESIGN,521.7,306,12,0.0024181276980003706
21977,PACK OF 60 PINK PAISLEY CAKE CASES,515.58,963,10,0.002389760932595421
22628,PICNIC BOXES SET OF 3 RETROSPOT ,514.95,121,2,0.0023868408243919704
22662,LUNCH BAG DOLLY GIRL DESIGN,504.29999999999995,342,8,0.0023374770904764936
22728,ALARM CLOCK BAKELIKE PINK,503.37,131,17,0.0023331664545571144
22551,PLASTERS IN TIN SPACEBOY,503.24999999999994,305,18,0.0023326102434707424
20728,LUNCH BAG CARS BLUE,498.26,282,14,0.0023094811324624585
